# hpos-1,hpos-2,avgfeat-1,avgfeat-2,#npts
26,58,72.0,0.0001049155484514,3
0,57,1.0,5.796029828708418e-05,1978
32,63,147.5,0.0020428835295750003,4
3,58,4.0,0.00010667795103312491,312
4,61,5.0,0.0004869637747747122,66
8,56,9.0,3.37959270276e-05,4
50,67,1184.0,0.024095139242833335,3
5,48,6.0,3.17539566988e-07,1
54,69,1952.75,0.0528512726285,4
7,62,8.0,0.0008149732399586667,6
28,65,94.57142857142857,0.0054768957109632655,98
11,59,12.392857142857142,0.00019476789479275,28
12,60,14.469696969696969,0.00036649873953589383,66
44,65,605.0,0.00482306531833,1
41,65,415.5,0.0064227213204125005,4
14,62,18.483091787439612,0.0010486443953653284,207
15,63,20.52173913043478,0.0016045985925269568,46
56,68,2424.0,0.0466554576625,1
0,48,1.0,2.867688337628617e-07,188
2,58,3.0,0.00010597968449836643,616
